Algorithm,Load,Execution Time (s)
QUEST_NDVFS,3,1.6270911693572998
Fuzzy,3,0.0039017200469970703
NSGA3,3,2.296408176422119
MQGA,3,27.68337607383728
Greedy,3,1.6956970691680908
MOPSO,3,1.3088173866271973
RL,3,1.116551399230957
QUEST,3,2.3663461208343506
QUEST_NDVFS,3,3.8182969093322754
Fuzzy,3,0.003875732421875
NSGA3,3,2.3125052452087402
MQGA,3,49.89219856262207
Greedy,3,1.6832942962646484
MOPSO,3,0.7581489086151123
RL,3,1.1151235103607178
QUEST,3,3.9449703693389893
QUEST_NDVFS,3,4.187844753265381
Fuzzy,3,0.004057168960571289
NSGA3,3,2.574086904525757
MQGA,3,21.048932552337646
Greedy,3,2.1441404819488525
MOPSO,3,0.7764863967895508
RL,3,1.4329752922058105
QUEST,3,3.8444924354553223
QUEST_NDVFS,3,1.7791097164154053
Fuzzy,3,0.004072427749633789
NSGA3,3,2.3474555015563965
MQGA,3,24.62462329864502
Greedy,3,1.6943247318267822
MOPSO,3,0.7151153087615967
RL,3,1.127138614654541
QUEST,3,3.0145115852355957
QUEST_NDVFS,3,3.9922595024108887
Fuzzy,3,0.0040874481201171875
NSGA3,3,2.6462714672088623
MQGA,3,24.664441108703613
Greedy,3,2.2252590656280518
MOPSO,3,0.6523337364196777
RL,3,1.453829288482666
QUEST,3,2.963595151901245
QUEST_NDVFS,3,2.807037591934204
Fuzzy,3,0.003937244415283203
NSGA3,3,2.399132251739502
MQGA,3,27.764933824539185
Greedy,3,1.863868236541748
MOPSO,3,0.5513606071472168
RL,3,1.2276310920715332
